text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
"FAITH & PATIENCE Hair Removal Powder For Men & Women, Faith and Patience Camel Milk Wax 10 Min Herbal Wax, Hair Removal Bi... beauty & health Beauty & Grooming","FAITH & PATIENCE Hair Removal Powder For Men & Women, Faith and Patience Camel Milk Wax 10 Min Herbal Wax, Hair Removal Bi...",3.7,383,,,Beauty and Grooming.csv
"The Moms Co. Natural Clay Face Wash with Moroccan Lava Clay & Activated Charcoal l Purifies,Detoxes &Glowing l Normal to O... beauty & health Beauty & Grooming","The Moms Co. Natural Clay Face Wash with Moroccan Lava Clay & Activated Charcoal l Purifies,Detoxes &Glowing l Normal to O...",4.0,"1,679",₹162,₹249,Beauty and Grooming.csv
Mamaearth Vitamin C Face Mask with Vitamin C and Kaolin Clay for Skin Illumination and Reduces Dark Spots (100 g) beauty & health Beauty & Grooming,Mamaearth Vitamin C Face Mask with Vitamin C and Kaolin Clay for Skin Illumination and Reduces Dark Spots (100 g),4.1,"2,632",₹463,₹499,Beauty and Grooming.csv
"Man Matters Hair Conditioner For Men | Contains Rice Alkane, Banana Oil, Shea Butter & Argan Oil | Helps in Deep Norurishm... beauty & health Beauty & Grooming","Man Matters Hair Conditioner For Men | Contains Rice Alkane, Banana Oil, Shea Butter & Argan Oil | Helps in Deep Norurishm...",3.9,314,₹286,₹299,Beauty and Grooming.csv
"Joy Pure Aloe Repairing & Soothing 99% Pure Aloe Vera Gel for Face & Body, Skin Softening, Anti-Ageing, Anti-Pollutant, UV... beauty & health Beauty & Grooming","Joy Pure Aloe Repairing & Soothing 99% Pure Aloe Vera Gel for Face & Body, Skin Softening, Anti-Ageing, Anti-Pollutant, UV...",4.0,922,₹199,₹249,Beauty and Grooming.csv
"L'Oreal Paris Magic Retouch Root Color Cover-Up Hair Colour Spray, 75 ml - Dark Brown (Pack of 1) beauty & health Beauty & Grooming","L'Oreal Paris Magic Retouch Root Color Cover-Up Hair Colour Spray, 75 ml - Dark Brown (Pack of 1)",3.6,"23,278",₹429,₹800,Beauty and Grooming.csv
Torrent Ahaglow S Foaming Face Wash (100 ml) beauty & health Beauty & Grooming,Torrent Ahaglow S Foaming Face Wash (100 ml),4.3,463,₹689,₹695,Beauty and Grooming.csv
Modicare Schloka Whitening Cream With Lemon & Turmeric 50ml + Hairpin Free beauty & health Beauty & Grooming,Modicare Schloka Whitening Cream With Lemon & Turmeric 50ml + Hairpin Free,4.0,459,₹239,₹295,Beauty and Grooming.csv
"Aziclear serum with Azelaic Acid, Vitamin C, and Ferulic Acid for reducing pigmentation, scars, and signs of aging, 25 ml beauty & health Beauty & Grooming","Aziclear serum with Azelaic Acid, Vitamin C, and Ferulic Acid for reducing pigmentation, scars, and signs of aging, 25 ml",4.2,188,"₹1,609","₹1,900",Beauty and Grooming.csv
"Lakmé 9 To 5 Weightless Mousse Foundation, Beige Vanilla, 25g Matte Finish beauty & health Beauty & Grooming","Lakmé 9 To 5 Weightless Mousse Foundation, Beige Vanilla, 25g Matte Finish",4.2,"4,957",₹520,₹650,Beauty and Grooming.csv
VAMA Simple Plain Round Multicolour Kumkum sticker Bindiya Bindis Spiral bindi booklet for women (Pack of 948 - Bindi Book) beauty & health Beauty & Grooming,VAMA Simple Plain Round Multicolour Kumkum sticker Bindiya Bindis Spiral bindi booklet for women (Pack of 948 - Bindi Book),4.1,391,₹258,"₹1,000",Beauty and Grooming.csv
"L'Oréal Professionnel Pro Longer Shampoo for Long Hair with Thinned Ends, With Filler-A100 and Amino Acid, Serie Expert, 3... beauty & health Beauty & Grooming","L'Oréal Professionnel Pro Longer Shampoo for Long Hair with Thinned Ends, With Filler-A100 and Amino Acid, Serie Expert, 3...",4.0,60,,₹695,Beauty and Grooming.csv
"Moroccanoil Moisture Repair Shampoo, Blue, 250 ml beauty & health Beauty & Grooming","Moroccanoil Moisture Repair Shampoo, Blue, 250 ml",4.2,"9,985",,"₹2,160",Beauty and Grooming.csv
"Joy Pure Aloe Multi Benefit Aloe Vera Moisturisers Skin Cream, For Normal to Oily Skin 500 ml beauty & health Beauty & Grooming","Joy Pure Aloe Multi Benefit Aloe Vera Moisturisers Skin Cream, For Normal to Oily Skin 500 ml",4.3,921,₹320,₹390,Beauty and Grooming.csv
SebaMed Anti Dandruff Shampoo 200ml (New Packaging) beauty & health Beauty & Grooming,SebaMed Anti Dandruff Shampoo 200ml (New Packaging),4.2,66,₹552,₹600,Beauty and Grooming.csv
KLM KLIN Facewash (Pack Of 2 * 100 Ml) 200 Ml Face Wash beauty & health Beauty & Grooming,KLM KLIN Facewash (Pack Of 2 * 100 Ml) 200 Ml Face Wash,4.3,135,₹380,₹550,Beauty and Grooming.csv
Fastrack Casual Analog White Dial Men's Watch NM3114PP01/NN3114PP01/NP3114PP01 beauty & health Beauty & Grooming,Fastrack Casual Analog White Dial Men's Watch NM3114PP01/NN3114PP01/NP3114PP01,4.1,"5,152","₹1,150","₹1,195",Beauty and Grooming.csv
MARS Illuminati Base with primer & highlighter look (Gold Beam) beauty & health Beauty & Grooming,MARS Illuminati Base with primer & highlighter look (Gold Beam),4.1,156,₹204,₹249,Beauty and Grooming.csv
"The Man Company Face on Point Facial Kit with Vitamin C Serum, Charcoal Face Wash & Face Scrub, daily Moisturizing Cream |... beauty & health Beauty & Grooming","The Man Company Face on Point Facial Kit with Vitamin C Serum, Charcoal Face Wash & Face Scrub, daily Moisturizing Cream |...",4.0,136,"₹1,035","₹1,546",Beauty and Grooming.csv
"Ustraa De-Tan Face Mask - Oily Skin - 125 g - Tan & Pollution removing wash-off face mask for men, with highest grade Whit... beauty & health Beauty & Grooming","Ustraa De-Tan Face Mask - Oily Skin - 125 g - Tan & Pollution removing wash-off face mask for men, with highest grade Whit...",3.8,"1,360",₹263,₹299,Beauty and Grooming.csv
"UrbanBotanics Tea Tree, Neem & Basil Face Scrub For Women & Men - Deep Cleansing, Tan Removal, Glowing Skin - 100g beauty & health Beauty & Grooming","UrbanBotanics Tea Tree, Neem & Basil Face Scrub For Women & Men - Deep Cleansing, Tan Removal, Glowing Skin - 100g",4.1,756,₹189,₹299,Beauty and Grooming.csv
Lotus Herbal Professional Phytorx Whitening & Brightening Cream (Set Of 2) beauty & health Beauty & Grooming,Lotus Herbal Professional Phytorx Whitening & Brightening Cream (Set Of 2),4.2,"1,529",₹929,"₹1,390",Beauty and Grooming.csv
Burt's Bees Beeswax Lip Balm with Vitamin E & Peppermint 0.15 oz beauty & health Beauty & Grooming,Burt's Bees Beeswax Lip Balm with Vitamin E & Peppermint 0.15 oz,4.3,"8,625",₹440,₹800,Beauty and Grooming.csv
"Doy Aloe Natural Soap, 125 g (Pack of 6) beauty & health Beauty & Grooming","Doy Aloe Natural Soap, 125 g (Pack of 6)",4.4,669,₹312,₹390,Beauty and Grooming.csv
Vega Set of 4 Hand Made Comb beauty & health Beauty & Grooming,Vega Set of 4 Hand Made Comb,4.3,"1,911",,₹649,Beauty and Grooming.csv
Soft Interdental Rubber Floss Sticks (20 pcs per pack) beauty & health Beauty & Grooming,Soft Interdental Rubber Floss Sticks (20 pcs per pack),3.7,798,₹169,₹200,Beauty and Grooming.csv
"BEAUTE BLANC Fruit Vinegar Gel Hair Color, Natural Black Color Dye for Men, Women (500ml x 2) beauty & health Beauty & Grooming","BEAUTE BLANC Fruit Vinegar Gel Hair Color, Natural Black Color Dye for Men, Women (500ml x 2)",4.5,6,₹699,₹750,Beauty and Grooming.csv
"Gatsby Water Gloss - Hyper Solid, Wet Look Hair Gel, Shine Effect, Long Lasting Hold, Non Sticky, Easy Wash Off, Holding L... beauty & health Beauty & Grooming","Gatsby Water Gloss - Hyper Solid, Wet Look Hair Gel, Shine Effect, Long Lasting Hold, Non Sticky, Easy Wash Off, Holding L...",4.2,"1,302",,₹150,Beauty and Grooming.csv
"Be Bodywise Anti Dandruff Shampoo | Targets Dandruff, Removes Visible Flakes, & Relieves Dandruff-Related Itching | Shampo... beauty & health Beauty & Grooming","Be Bodywise Anti Dandruff Shampoo | Targets Dandruff, Removes Visible Flakes, & Relieves Dandruff-Related Itching | Shampo...",3.9,112,,₹359,Beauty and Grooming.csv
Gillette Mach 3 Manual Shaving Razor Blades - 8s Pack (Cartridge) beauty & health Beauty & Grooming,Gillette Mach 3 Manual Shaving Razor Blades - 8s Pack (Cartridge),4.4,"4,008",₹787,₹949,Beauty and Grooming.csv
"Dove Refreshing Body Wash, With Refreshing Cucumber And Green Tea Scent, For All Skin Type, Smoother Skin, 250 ml beauty & health Beauty & Grooming","Dove Refreshing Body Wash, With Refreshing Cucumber And Green Tea Scent, For All Skin Type, Smoother Skin, 250 ml",4.2,110,₹198,₹215,Beauty and Grooming.csv
Romsons Comfit 3D Face Mask 25 pcs/ Pack beauty & health Beauty & Grooming,Romsons Comfit 3D Face Mask 25 pcs/ Pack,4.4,"2,802",₹430,₹750,Beauty and Grooming.csv
O3+ Bridal Facial Kit Oxygenating Glow Skin 81gm beauty & health Beauty & Grooming,O3+ Bridal Facial Kit Oxygenating Glow Skin 81gm,4.2,"1,281",₹702,₹780,Beauty and Grooming.csv
"L'Oreal Paris Collagen Face Moisturizer, Skin Care, Day And Night Cream, Anti-Aging Face Cream To Smooth Wrinkles, Non-Gre... beauty & health Beauty & Grooming","L'Oreal Paris Collagen Face Moisturizer, Skin Care, Day And Night Cream, Anti-Aging Face Cream To Smooth Wrinkles, Non-Gre...",4.5,"36,604","₹1,489","₹4,500",Beauty and Grooming.csv
"BONTRESS Pro Hair Serum, 60 ml beauty & health Beauty & Grooming","BONTRESS Pro Hair Serum, 60 ml",4.1,551,"₹1,011","₹1,390",Beauty and Grooming.csv
ZARPA (LABEL) Floral 19 Cms Cosmetic Pouch (Standard_bb - 6324_multi color) beauty & health Beauty & Grooming,ZARPA (LABEL) Floral 19 Cms Cosmetic Pouch (Standard_bb - 6324_multi color),4.1,"1,086",₹355,₹499,Beauty and Grooming.csv
"FACES CANADA Weightless Matte Lipstick - Buff Nude 05 (Brown), 4.5g | Highly Pigmented Lip Color | Smooth One Stroke Glide... beauty & health Beauty & Grooming","FACES CANADA Weightless Matte Lipstick - Buff Nude 05 (Brown), 4.5g | Highly Pigmented Lip Color | Smooth One Stroke Glide...",3.9,"5,639",₹220,₹299,Beauty and Grooming.csv
"Red Square Professional 250 Ml Empty Spray Bottles Clean Squirt BottleTransprent Multi-uses Spray Bottles for Cleaning, Wa... beauty & health Beauty & Grooming","Red Square Professional 250 Ml Empty Spray Bottles Clean Squirt BottleTransprent Multi-uses Spray Bottles for Cleaning, Wa...",3.8,191,₹89,₹199,Beauty and Grooming.csv
FIXDERMA COSMETIC LABORATORIES Eye Refining Gel Matrix for Dark Circles & Under Eye Puffiness (15g) beauty & health Beauty & Grooming,FIXDERMA COSMETIC LABORATORIES Eye Refining Gel Matrix for Dark Circles & Under Eye Puffiness (15g),4.0,155,"₹1,755","₹1,950",Beauty and Grooming.csv
Olay Total Effects Day Cream 50G + Olay Total Effects Night Cream 50G  Slay All Day Pack beauty & health Beauty & Grooming,Olay Total Effects Day Cream 50G + Olay Total Effects Night Cream 50G  Slay All Day Pack,4.2,53,"₹1,349","₹1,499",Beauty and Grooming.csv
Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy beauty & health Beauty & Grooming,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,4.4,"3,131","₹1,030","₹2,199",Beauty and Grooming.csv
"FOGG Fragrance Body Spray for Men, 240ml (Pack of 2) - Fresh Fougere Black beauty & health Beauty & Grooming","FOGG Fragrance Body Spray for Men, 240ml (Pack of 2) - Fresh Fougere Black",4.2,132,₹316,₹550,Beauty and Grooming.csv
PHs Organic 100% Natural Jatamansi Roots 50gm Full Roots (Full of Oil A Grade Clean) Bal Chad | Nardostachys Jatamansi | S... beauty & health Beauty & Grooming,PHs Organic 100% Natural Jatamansi Roots 50gm Full Roots (Full of Oil A Grade Clean) Bal Chad | Nardostachys Jatamansi | S...,4.2,18,₹195,₹225,Beauty and Grooming.csv
pentapatch Junior Eye Patch (Pack of 30) beauty & health Beauty & Grooming,pentapatch Junior Eye Patch (Pack of 30),3.8,443,₹350,₹400,Beauty and Grooming.csv
"Park Avenue Premium Men’s Soap, Tea tree Oil+Shea Butter, 125g (BUY 3 GET 1) beauty & health Beauty & Grooming","Park Avenue Premium Men’s Soap, Tea tree Oil+Shea Butter, 125g (BUY 3 GET 1)",4.2,"12,988",₹165,₹210,Beauty and Grooming.csv
Alloes Anti-Dandruff Ketoclean Shampoo Treatment for Long-Lasting Relief of Itching and Flaking Scalp – 100 ML beauty & health Beauty & Grooming,Alloes Anti-Dandruff Ketoclean Shampoo Treatment for Long-Lasting Relief of Itching and Flaking Scalp – 100 ML,3.8,266,₹140,₹150,Beauty and Grooming.csv
"Dabur Fem Turmeric Body Bleach, 1 Kg beauty & health Beauty & Grooming","Dabur Fem Turmeric Body Bleach, 1 Kg",4.0,"1,054",₹448,₹545,Beauty and Grooming.csv
BELLOX Enterprise Eyebrow Stamp Shaping Kit- Eyebrow Powder Stamp Makeup with 10 Reusable Eyebrow Stencils hicker and Full... beauty & health Beauty & Grooming,BELLOX Enterprise Eyebrow Stamp Shaping Kit- Eyebrow Powder Stamp Makeup with 10 Reusable Eyebrow Stencils hicker and Full...,3.8,116,₹399,"₹1,299",Beauty and Grooming.csv
Sebamed Anti-Dry Revitalizing Shampoo 200ml| Regenerates dry hair |Healthy shine| Results in 3 weeks beauty & health Beauty & Grooming,Sebamed Anti-Dry Revitalizing Shampoo 200ml| Regenerates dry hair |Healthy shine| Results in 3 weeks,4.2,639,₹740,₹933,Beauty and Grooming.csv
Elmask Derma Roller Microneedle Roller for Face Body Beard Hair Growth 540 Titanium (0.5 mm) beauty & health Beauty & Grooming,Elmask Derma Roller Microneedle Roller for Face Body Beard Hair Growth 540 Titanium (0.5 mm),3.9,339,₹229,₹275,Beauty and Grooming.csv
"Dr. Sheth's Shea Butter & Vitamin E Body Lotion, pH Balancing Moisturizer For Deep Nourishment & Hydration For Dry Skin, 2... beauty & health Beauty & Grooming","Dr. Sheth's Shea Butter & Vitamin E Body Lotion, pH Balancing Moisturizer For Deep Nourishment & Hydration For Dry Skin, 2...",4.0,69,₹245,₹299,Beauty and Grooming.csv
"Parachute Advansed Onion Hair Oil, Hair Growth Oil, Reduces hairfall, 200ml & Livon Hair Serum for Dry and Rough Hair, 24-... beauty & health Beauty & Grooming","Parachute Advansed Onion Hair Oil, Hair Growth Oil, Reduces hairfall, 200ml & Livon Hair Serum for Dry and Rough Hair, 24-...",3.9,55,₹210.89,₹559,Beauty and Grooming.csv
"Makeup Mania 140 Pcs Large Waxing Strips, Non-Woven Hair Removal Plain Waxing Strips - Ivory 140 Pcs beauty & health Beauty & Grooming","Makeup Mania 140 Pcs Large Waxing Strips, Non-Woven Hair Removal Plain Waxing Strips - Ivory 140 Pcs",4.0,"1,719",₹225,₹400,Beauty and Grooming.csv
"Wet n Wild, Mega Clear Mascara, Transparent Mascara that Hydrates and Nourishes the Eyelashes for a Natural Effect, Specia... beauty & health Beauty & Grooming","Wet n Wild, Mega Clear Mascara, Transparent Mascara that Hydrates and Nourishes the Eyelashes for a Natural Effect, Specia...",3.7,"1,349",₹229,₹250,Beauty and Grooming.csv
BEAUTRISTRO 3PC Satin silk Scrunchies | 3 Pcs Standard Size Scrunchies - Silk Satin Scrunchies for Hair - Jumbo Scrunchies... beauty & health Beauty & Grooming,BEAUTRISTRO 3PC Satin silk Scrunchies | 3 Pcs Standard Size Scrunchies - Silk Satin Scrunchies for Hair - Jumbo Scrunchies...,4.3,22,₹109,₹999,Beauty and Grooming.csv
"Skudgear Toe Separators - 1 Pair (White, Free Size) | Toe Straighteners | Bunion Relief | Relaxing Toes | Hammer Toe Strai... beauty & health Beauty & Grooming","Skudgear Toe Separators - 1 Pair (White, Free Size) | Toe Straighteners | Bunion Relief | Relaxing Toes | Hammer Toe Strai...",3.7,392,₹188,₹699,Beauty and Grooming.csv
Anshri Ice Cube Roller For Face I Skin Care Ice Roller | Face Neck Eyes Roller | Natural Glow | Reusable Facial Treatment ... beauty & health Beauty & Grooming,Anshri Ice Cube Roller For Face I Skin Care Ice Roller | Face Neck Eyes Roller | Natural Glow | Reusable Facial Treatment ...,3.2,20,₹99,₹149,Beauty and Grooming.csv
"Engage One Soul Gender-free Perfume, Unisex, Long Lasting, Citrus and Spicy, Free Tester with pack, 100ml beauty & health Beauty & Grooming","Engage One Soul Gender-free Perfume, Unisex, Long Lasting, Citrus and Spicy, Free Tester with pack, 100ml",3.8,67,₹418,₹575,Beauty and Grooming.csv
"ROZIA Pro comb brush for women Boar Bristles Round Hair Brush, Thermal Ceramic & Ionic Tech & Anti-Static, Roller Hairbrus... beauty & health Beauty & Grooming","ROZIA Pro comb brush for women Boar Bristles Round Hair Brush, Thermal Ceramic & Ionic Tech & Anti-Static, Roller Hairbrus...",3.9,"2,141",₹389,₹449,Beauty and Grooming.csv
Royalstar Derma 15 Skin Specialist Cream 25g Dark Circle Remover Herbal Ayurvedic Cream beauty & health Beauty & Grooming,Royalstar Derma 15 Skin Specialist Cream 25g Dark Circle Remover Herbal Ayurvedic Cream,4.0,72,₹200,₹299,Beauty and Grooming.csv
"Yardley London Country Breeze Compact Perfume for Women, 18ml beauty & health Beauty & Grooming","Yardley London Country Breeze Compact Perfume for Women, 18ml",4.2,427,₹63,₹70,Beauty and Grooming.csv
"Mahi Women's , Girl's Alloy Rose Gold Plated Dual Heart Pendant for mom with Crystal Stones white colour beauty & health Beauty & Grooming","Mahi Women's , Girl's Alloy Rose Gold Plated Dual Heart Pendant for mom with Crystal Stones white colour",3.8,974,₹173,"₹1,199",Beauty and Grooming.csv
Generic Inoa hair color Developer 20 vol 6% Oxydant ammonia free beauty & health Beauty & Grooming,Generic Inoa hair color Developer 20 vol 6% Oxydant ammonia free,2.7,3,₹630,"₹1,125",Beauty and Grooming.csv
"Bella Vita Organic Chakra Cleansing Body Wash Shower Gel Aura Boosting Positivity with Himalayan Rock Salt, Real Coffee Be... beauty & health Beauty & Grooming","Bella Vita Organic Chakra Cleansing Body Wash Shower Gel Aura Boosting Positivity with Himalayan Rock Salt, Real Coffee Be...",4.0,"1,386",₹198,₹299,Beauty and Grooming.csv
VEGA Wide Teeth Shampoo Comb Handcrafted Tortoise Shell Pattern Large Sized beauty & health Beauty & Grooming,VEGA Wide Teeth Shampoo Comb Handcrafted Tortoise Shell Pattern Large Sized,4.6,"1,079",₹223,₹260,Beauty and Grooming.csv
DOCOSS-16 IN 1 Proffesional Stainless Steel Manicure Pedicure Kit For Women Pedicure Tools Set Nail Cutter Grooming Kit Wi... beauty & health Beauty & Grooming,DOCOSS-16 IN 1 Proffesional Stainless Steel Manicure Pedicure Kit For Women Pedicure Tools Set Nail Cutter Grooming Kit Wi...,4.2,407,₹474,₹995,Beauty and Grooming.csv
"Mamaearth Rice Day Cream for daily use, With Rice Water & Niacinamide for Glass Skin - 50 g beauty & health Beauty & Grooming","Mamaearth Rice Day Cream for daily use, With Rice Water & Niacinamide for Glass Skin - 50 g",3.9,197,₹556,₹599,Beauty and Grooming.csv
"Mamaearth Bye Bye Acne Face Cream Face Moisturizer For Acne Prone Skin, with Willow Bark Extract & Salicylic Acid For Clea... beauty & health Beauty & Grooming","Mamaearth Bye Bye Acne Face Cream Face Moisturizer For Acne Prone Skin, with Willow Bark Extract & Salicylic Acid For Clea...",3.8,211,₹389,₹399,Beauty and Grooming.csv
PILGRIM Amazonian Patuá & Keratin Hair SMOOTHING CONDITIONER for Dry & frizzy hair with Sacha Inchi | Hair conditioner for... beauty & health Beauty & Grooming,PILGRIM Amazonian Patuá & Keratin Hair SMOOTHING CONDITIONER for Dry & frizzy hair with Sacha Inchi | Hair conditioner for...,4.3,71,₹340,₹400,Beauty and Grooming.csv
Rivela Dermascience Deep Clean Foaming Facial Cleanser By Cipla | Removes Dead Skin Cells | Makes Skin Supple and Smooth |... beauty & health Beauty & Grooming,Rivela Dermascience Deep Clean Foaming Facial Cleanser By Cipla | Removes Dead Skin Cells | Makes Skin Supple and Smooth |...,4.3,89,₹250,₹399,Beauty and Grooming.csv
DERMATOUCH 3% Vitamin C Face Wash for Glowing Skin | Bright & Firm Skin | Anti-aging Face Wash for Women & Men - 70G beauty & health Beauty & Grooming,DERMATOUCH 3% Vitamin C Face Wash for Glowing Skin | Bright & Firm Skin | Anti-aging Face Wash for Women & Men - 70G,4.8,124,₹223,₹299,Beauty and Grooming.csv
The Derma Co Anti-Acne Regimen Combo - 1% Salicylic Acid Gel Face Wash (100 ml) + 2% Salicylic Acid Serum (30 ml) beauty & health Beauty & Grooming,The Derma Co Anti-Acne Regimen Combo - 1% Salicylic Acid Gel Face Wash (100 ml) + 2% Salicylic Acid Serum (30 ml),3.9,47,₹701,₹798,Beauty and Grooming.csv
Dot & Key Vitamin C Moisturizer For face with Vitamin E for Glowing Skin I For Pigmentation and Dark Spot Removal Moisturi... beauty & health Beauty & Grooming,Dot & Key Vitamin C Moisturizer For face with Vitamin E for Glowing Skin I For Pigmentation and Dark Spot Removal Moisturi...,4.1,63,₹374,₹499,Beauty and Grooming.csv
Dot & Key Glow Revealing Vitamin C Serum Concentrate | Vitamin C Face Serum with Hyaluronic Acid | Face Serum for Glowing ... beauty & health Beauty & Grooming,Dot & Key Glow Revealing Vitamin C Serum Concentrate | Vitamin C Face Serum with Hyaluronic Acid | Face Serum for Glowing ...,4.1,134,₹385,₹795,Beauty and Grooming.csv
"moha: Aloe Vera Gel Enriched With Rose & Cucumber For Face & Skin | Pure & Natural Face Gel For Preventing Pimples & Acne,... beauty & health Beauty & Grooming","moha: Aloe Vera Gel Enriched With Rose & Cucumber For Face & Skin | Pure & Natural Face Gel For Preventing Pimples & Acne,...",4.1,"1,700",₹84,₹99,Beauty and Grooming.csv
"Licel Lice & Nits Killer Oil | Herbal Lice Killer Oil | Kills Lice, Eggs and Nits Naturally | Proven and Tested for 5 deca... beauty & health Beauty & Grooming","Licel Lice & Nits Killer Oil | Herbal Lice Killer Oil | Kills Lice, Eggs and Nits Naturally | Proven and Tested for 5 deca...",3.9,655,₹349,₹375,Beauty and Grooming.csv
"WOW Skin Science Vitamin C Face Wash In Paper Tube (Eco Friendly Packaging) - No Parabens, Sulphate, Silicones & Color - 1... beauty & health Beauty & Grooming","WOW Skin Science Vitamin C Face Wash In Paper Tube (Eco Friendly Packaging) - No Parabens, Sulphate, Silicones & Color - 1...",4.0,698,₹209,₹249,Beauty and Grooming.csv
Modicare Essensual Instante Tea Tree Oil with Vitamin E (15 Ml) beauty & health Beauty & Grooming,Modicare Essensual Instante Tea Tree Oil with Vitamin E (15 Ml),4.1,688,₹275,₹355,Beauty and Grooming.csv
Kimirica Five Elements Premium Body wash with the goodness of Tangerine & Green Tea | 100% Vegan & Paraben Free Shower Gel... beauty & health Beauty & Grooming,Kimirica Five Elements Premium Body wash with the goodness of Tangerine & Green Tea | 100% Vegan & Paraben Free Shower Gel...,4.3,157,₹446,₹525,Beauty and Grooming.csv
"Traditional Pure Goat Milk Melt And Pour Soap Base, 1 Kg beauty & health Beauty & Grooming","Traditional Pure Goat Milk Melt And Pour Soap Base, 1 Kg",4.1,"1,374",₹423,₹499,Beauty and Grooming.csv
"Aromacare Pearl Glow Night Cream For All Skin Type, 15g beauty & health Beauty & Grooming","Aromacare Pearl Glow Night Cream For All Skin Type, 15g",4.2,122,₹620,₹649,Beauty and Grooming.csv
"Hair Dryer, 2000 Watts Professional Hot and Cold Hair Dryers with 2 Switch Speed Setting and Thin Styling Nozzle,Diffuser,... beauty & health Beauty & Grooming","Hair Dryer, 2000 Watts Professional Hot and Cold Hair Dryers with 2 Switch Speed Setting and Thin Styling Nozzle,Diffuser,...",4.2,84,₹639,"₹1,899",Beauty and Grooming.csv
Oilanic Nail Strong Growth Serum For Shiny & Stronger Nails Growth And Cuticle Care Pack of 1 of 30ML beauty & health Beauty & Grooming,Oilanic Nail Strong Growth Serum For Shiny & Stronger Nails Growth And Cuticle Care Pack of 1 of 30ML,2.5,2,₹197,₹400,Beauty and Grooming.csv
"Pantene Advanced Hair Fall Solution Long Black Shampoo, 650 ml beauty & health Beauty & Grooming","Pantene Advanced Hair Fall Solution Long Black Shampoo, 650 ml",4.2,"1,134",₹484,₹645,Beauty and Grooming.csv
"Khadi Omorose Neem Leaves Powder, 100 Grams beauty & health Beauty & Grooming","Khadi Omorose Neem Leaves Powder, 100 Grams",4.0,393,₹150,₹200,Beauty and Grooming.csv
"Nivea Deodorant, Fresh Flower for Women, 150ml beauty & health Beauty & Grooming","Nivea Deodorant, Fresh Flower for Women, 150ml",4.2,"9,267",,₹199,Beauty and Grooming.csv
Mamaearth Onion Oil Scalp Serum with Onion Oil & Niacinamide for Healthy Hair Growth – 50ml beauty & health Beauty & Grooming,Mamaearth Onion Oil Scalp Serum with Onion Oil & Niacinamide for Healthy Hair Growth – 50ml,4.0,"1,781",₹538,₹599,Beauty and Grooming.csv
"The Body Shop Vegan Shea Intense Repair Shampoo, 250 Ml beauty & health Beauty & Grooming","The Body Shop Vegan Shea Intense Repair Shampoo, 250 Ml",4.1,587,₹516,₹745,Beauty and Grooming.csv
Dove Cream Beauty Bathing Bar - 75g Pack beauty & health Beauty & Grooming,Dove Cream Beauty Bathing Bar - 75g Pack,4.5,221,₹48,₹65,Beauty and Grooming.csv
"Khadi Omorose Henna Leaves Powder, 100g - Green (Pack of 4) beauty & health Beauty & Grooming","Khadi Omorose Henna Leaves Powder, 100g - Green (Pack of 4)",4.3,793,₹280,₹320,Beauty and Grooming.csv
ANAMAX Hair Fibers for Thinning Hair - 100% Undetectable Natural Formula - Completely Conceals Hair Loss in 15 Seconds -(B... beauty & health Beauty & Grooming,ANAMAX Hair Fibers for Thinning Hair - 100% Undetectable Natural Formula - Completely Conceals Hair Loss in 15 Seconds -(B...,3.8,556,₹379,"₹2,000",Beauty and Grooming.csv
ZAVERI PEARLS Gold Tone Kundan & Pearls Traditional Earring & Maangtikka Set For Women-ZPFK8541 beauty & health Beauty & Grooming,ZAVERI PEARLS Gold Tone Kundan & Pearls Traditional Earring & Maangtikka Set For Women-ZPFK8541,4.1,"2,555",₹415,"₹1,997",Beauty and Grooming.csv
"Steamer For Cold And Cough Nano-Cure Facial Iconic Cleanser with Nano-Ionic Technology, Steam breath machine for Adults/Ki... beauty & health Beauty & Grooming","Steamer For Cold And Cough Nano-Cure Facial Iconic Cleanser with Nano-Ionic Technology, Steam breath machine for Adults/Ki...",4.5,25,₹799,"₹1,899",Beauty and Grooming.csv
"Bio-Oil Natural 100% Natural Skincare Oil for Glowing Skin, Acne Scar Removal, Pigmentation and Stretch Marks with Organic... beauty & health Beauty & Grooming","Bio-Oil Natural 100% Natural Skincare Oil for Glowing Skin, Acne Scar Removal, Pigmentation and Stretch Marks with Organic...",3.9,152,₹270,₹300,Beauty and Grooming.csv
Plum Vitamin C Foaming Face Wash with Mandarin | For Glowing Skin | For Gentle Cleansing | For Hyperpigmentation & Dull Sk... beauty & health Beauty & Grooming,Plum Vitamin C Foaming Face Wash with Mandarin | For Glowing Skin | For Gentle Cleansing | For Hyperpigmentation & Dull Sk...,4.2,195,₹315,₹375,Beauty and Grooming.csv
Trichup Hair Fall Control Herbal Hair Shampoo (400 ml) (Pack of 2) beauty & health Beauty & Grooming,Trichup Hair Fall Control Herbal Hair Shampoo (400 ml) (Pack of 2),4.2,682,₹335,₹450,Beauty and Grooming.csv
