text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim... stores Amazon Fashion,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,4.3,"9,763",₹565,"₹1,199",Amazon Fashion.csv
LEDO Men's and Women's Watch Box Holder Organizer Case In 12 Slots of watches In PU Leather with Royal Black color stores Amazon Fashion,LEDO Men's and Women's Watch Box Holder Organizer Case In 12 Slots of watches In PU Leather with Royal Black color,4.4,"2,629",₹899,"₹3,999",Amazon Fashion.csv
FONHCOO Kids Blue Light Blocking Glasses Computer Glasses for Boys and Girls Age 3-15 with Glasses Strap stores Amazon Fashion,FONHCOO Kids Blue Light Blocking Glasses Computer Glasses for Boys and Girls Age 3-15 with Glasses Strap,4.6,112,"₹3,626","₹4,999",Amazon Fashion.csv
"Boldfit Head Band for Man Sports Head Bandana for Men & Women Gym Hair Band for Men Workout, Running - Breathable, Non-Sli... stores Amazon Fashion","Boldfit Head Band for Man Sports Head Bandana for Men & Women Gym Hair Band for Men Workout, Running - Breathable, Non-Sli...",3.9,689,₹299,₹499,Amazon Fashion.csv
"Mortein Insta5 Mosquito Repellent Liquid Refill - 45ml x 6 (Buy 4 Get 2 Free) | 100% Protection from Dengue Mosquitoes, Pa... stores Amazon Fashion","Mortein Insta5 Mosquito Repellent Liquid Refill - 45ml x 6 (Buy 4 Get 2 Free) | 100% Protection from Dengue Mosquitoes, Pa...",4.0,"26,990",₹285,₹308,Amazon Fashion.csv
"Colorbar Nail Polish Remover, 110ml stores Amazon Fashion","Colorbar Nail Polish Remover, 110ml",4.5,"22,133",₹109,₹145,Amazon Fashion.csv
GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC) - NO CD/CD stores Amazon Fashion,GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC) - NO CD/CD,,,₹599,"₹1,999",Amazon Fashion.csv
Solar System Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm) stores Amazon Fashion,Solar System Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),4.3,726,₹145,₹185,Amazon Fashion.csv
SWADESI STUFF Black Dial Brown Leather Strap Stylish Analog Watch for Men stores Amazon Fashion,SWADESI STUFF Black Dial Brown Leather Strap Stylish Analog Watch for Men,3.9,656,₹249,"₹1,000",Amazon Fashion.csv
Bangalore Refinery 24k (999.9) 2 gm Yellow Gold Bar stores Amazon Fashion,Bangalore Refinery 24k (999.9) 2 gm Yellow Gold Bar,4.6,"4,392","₹13,140","₹13,200",Amazon Fashion.csv
